ITEM   	 LEN_P 	 LEN_L 	   N   	   PN   	  AOA  	  AOA2  	  IMG  	  IMG2  	
mobilize	   7	   8	   0	   1	-1	-1	-1	-1	
mobilized	   8	   9	   1	   1	-1	-1	-1	-1	
mocked	   4	   6	   6	  12	-1	-1	-1	-1	
modernize	   7	   9	   0	   1	-1	-1	-1	-1	
modifies	   7	   8	   1	   2	-1	-1	-1	-1	
modify	   6	   6	   0	   3	-1	-1	-1	-1	
mollified	   7	   9	   0	   2	-1	-1	-1	-1	
mollify	   6	   7	   0	   2	-1	-1	-1	-1	
monkeying	   -  	   9	   0		-1	-1	-1	-1	
moored	   3	   6	   1	  29	-1	-1	-1	-1	
mopped	   4	   6	   6	  12	-1	-1	-1	-1	
moralize	   -  	   8	   0		-1	-1	-1	-1	
morphed	   -  	   7	   0		-1	-1	-1	-1	
mortgaging	   7	  10	   0	   1	-1	-1	-1	-1	
mortify	   -  	   7	   1		-1	-1	-1	-1	
motioning	   6	   9	   0	   0	-1	-1	-1	-1	
motivate	   7	   8	   0	   1	-1	 570	-1	 315	
motivates	   8	   9	   1	   1	-1	-1	-1	-1	
mourn	   3	   5	   0	  25	-1	-1	-1	-1	
mourned	   4	   7	   1	  14	-1	-1	-1	-1	
mourns	   -  	   6	   0		-1	-1	-1	-1	
mouthed	   4	   7	   0	   3	-1	-1	-1	-1	
mows	   -  	   4	  12		-1	-1	-1	-1	
muddying	   -  	   8	   1		-1	-1	-1	-1	
mulched	   -  	   7	   1		-1	-1	-1	-1	
multiplied	   9	  10	   2	   2	-1	-1	-1	-1	
multiplies	   9	  10	   2	   2	-1	-1	-1	-1	
mummify	   -  	   7	   0		-1	-1	-1	-1	
munched	   5	   7	   4	   5	-1	-1	-1	-1	
muscling	   -  	   8	   0		-1	-1	-1	-1	
mused	   5	   5	   3	   5	-1	-1	-1	-1	
mutinied	   -  	   8	   0		-1	-1	-1	-1	
mystifies	   -  	   9	   1		-1	-1	-1	-1	
mystify	   -  	   7	   0		-1	-1	-1	-1	
nagged	   4	   6	   9	  13	-1	-1	-1	-1	
napped	   -  	   6	   7		-1	-1	-1	-1	
narrated	   7	   8	   0	   0	-1	-1	-1	-1	
navigate	   7	   8	   0	   0	-1	-1	-1	-1	
navigates	   -  	   9	   1		-1	-1	-1	-1	
neared	   3	   6	   5	  18	-1	-1	-1	-1	
nears	   3	   5	  11	  20	-1	-1	-1	-1	
necked	   -  	   6	   3		-1	-1	-1	-1	
negated	   7	   7	   1	   1	-1	-1	-1	-1	
negating	   7	   8	   0	   1	-1	-1	-1	-1	
neglecting	   9	  10	   0	   1	-1	-1	-1	-1	
neutralize	   9	  10	   0	   0	-1	-1	-1	-1	
nicked	   4	   6	   6	   9	-1	-1	-1	-1	
nill	   -  	   4	  12		-1	-1	-1	-1	
nipped	   4	   6	   6	  14	-1	-1	-1	-1	
nitpicking	   -  	  10	   0		-1	-1	-1	-1	
nitrating	   -  	   9	   0		-1	-1	-1	-1	
nixed	   -  	   5	   2		-1	-1	-1	-1	
nominate	   7	   8	   1	   1	-1	 560	-1	 340	
nominates	   -  	   9	   2		-1	-1	-1	-1	
nonbinding	   -  	  10	   0		-1	-1	-1	-1	
normalize	   -  	   9	   0		-1	-1	-1	-1	
normalized	   -  	  10	   1		-1	-1	-1	-1	
nosed	   4	   5	   4	   5	-1	-1	-1	-1	
noticing	   7	   8	   0	   1	-1	-1	-1	-1	
notified	   7	   8	   0	   1	-1	-1	-1	-1	
notifies	   -  	   8	   1		-1	-1	-1	-1	
notify	   6	   6	   0	   1	-1	-1	-1	-1	
nourishes	   7	   9	   1	   1	-1	-1	-1	-1	
nudged	   4	   6	   3	   4	-1	-1	-1	-1	
nullified	   7	   9	   0	   1	-1	-1	-1	-1	
nullifies	   -  	   9	   1		-1	-1	-1	-1	
nullify	   6	   7	   0	   1	-1	-1	-1	-1	
numbering	   8	   9	   1	   1	-1	-1	-1	-1	
nursed	   4	   6	   3	   9	-1	-1	-1	-1	
nuzzling	   6	   8	   2	   2	-1	-1	-1	-1	
objected	   8	   8	   0	   3	-1	-1	-1	-1	
obligate	   -  	   8	   0		-1	-1	-1	-1	
obligates	   -  	   9	   1		-1	-1	-1	-1	
obliges	   7	   7	   1	   1	-1	-1	-1	-1	
obscuring	   9	   9	   0	   0	-1	-1	-1	-1	
observing	   7	   9	   0	   0	-1	-1	-1	-1	
obsesses	   -  	   8	   1		-1	-1	-1	-1	
obtaining	   7	   9	   0	   2	-1	-1	-1	-1	
obviate	   6	   7	   0	   0	-1	-1	-1	-1	
occasioned	   6	  10	   0	   2	-1	-1	-1	-1	
occupies	   7	   8	   2	   2	-1	-1	-1	-1	
occupy	   6	   6	   0	   2	-1	-1	-1	-1	
occurring	   6	   9	   0	   0	-1	-1	-1	-1	
omitted	   6	   7	   1	   5	-1	-1	-1	-1	
omitting	   6	   8	   1	   5	-1	-1	-1	-1	
oozed	   3	   5	   2	   3	-1	-1	-1	-1	
opaline	   -  	   7	   0		-1	-1	-1	-1	
operate	   6	   7	   0	   1	-1	 467	-1	-1	
operates	   7	   8	   1	   1	-1	-1	-1	-1	
opining	   -  	   7	   1		-1	-1	-1	-1	
opposes	   6	   7	   1	   2	-1	-1	-1	-1	
oppresses	   -  	   9	   1		-1	-1	-1	-1	
oppressing	   -  	  10	   0		-1	-1	-1	-1	
opt	   -  	   3	   5		-1	-1	-1	-1	
optimize	   -  	   8	   0		-1	-1	-1	-1	
optioning	   -  	   9	   0		-1	-1	-1	-1	
opts	   -  	   4	   3		-1	-1	-1	-1	
orbited	   6	   7	   0	   1	-1	-1	-1	-1	
organize	   6	   8	   0	   1	-1	-1	-1	-1	
orthoclase	   -  	  10	   0		-1	-1	-1	-1	
oscillate	   -  	   9	   0		-1	-1	-1	-1	
oscillates	   -  	  10	   0		-1	-1	-1	-1	
ostracized	   9	  10	   0	   0	-1	-1	-1	-1	
ought	   2	   5	   0	  22	-1	 404	-1	 195	
oust	   3	   4	   7	   4	-1	-1	-1	-1	
outdoing	   6	   8	   1	   0	-1	-1	-1	-1	
outerwear	   -  	   9	   0		-1	-1	-1	-1	
outfitting	   -  	  10	   1		-1	-1	-1	-1	
outgrowing	   7	  10	   0	   1	-1	-1	-1	-1	
outlasted	   -  	   9	   0		-1	-1	-1	-1	
outlawing	   6	   9	   0	   0	-1	-1	-1	-1	
outlining	   7	   9	   0	   0	-1	-1	-1	-1	
outliving	   -  	   9	   1		-1	-1	-1	-1	
outnumber	   8	   9	   0	   0	-1	-1	-1	-1	
outnumbers	   -  	  10	   0		-1	-1	-1	-1	
outpacing	   -  	   9	   0		-1	-1	-1	-1	
outperform	   -  	  10	   0		-1	-1	-1	-1	
outrunning	   -  	  10	   0		-1	-1	-1	-1	
outscoring	   -  	  10	   0		-1	-1	-1	-1	
outshining	   -  	  10	   0		-1	-1	-1	-1	
outsmarted	   -  	  10	   0		-1	-1	-1	-1	
outvoted	   -  	   8	   0		-1	-1	-1	-1	
outwitted	   7	   9	   0	   1	-1	-1	-1	-1	
outwitting	   7	  10	   0	   1	-1	-1	-1	-1	
overact	   -  	   7	   0		-1	-1	-1	-1	
overate	   -  	   7	   1		-1	-1	-1	-1	
overbill	   -  	   8	   1		-1	-1	-1	-1	
overcame	   6	   8	   1	   1	-1	-1	-1	-1	
overcomes	   7	   9	   0	   1	-1	-1	-1	-1	
overcook	   -  	   8	   2		-1	-1	-1	-1	
overcrowd	   -  	   9	   0		-1	-1	-1	-1	
overdid	   6	   7	   0	   0	-1	-1	-1	-1	
overdo	   5	   6	   0	   1	-1	-1	-1	-1	
overdoes	   -  	   8	   0		-1	-1	-1	-1	
overdress	   -  	   9	   0		-1	-1	-1	-1	
overeat	   -  	   7	   0		-1	-1	-1	-1	
overfeed	   -  	   8	   0		-1	-1	-1	-1	
overfill	   -  	   8	   1		-1	-1	-1	-1	
overflowed	   7	  10	   0	   1	-1	-1	-1	-1	
overhauled	   7	  10	   0	   1	-1	-1	-1	-1	
overhear	   6	   8	   2	   0	-1	-1	-1	-1	
overhears	   -  	   9	   2		-1	-1	-1	-1	
overhung	   6	   8	   1	   1	-1	-1	-1	-1	
overlaid	   6	   8	   2	   2	-1	-1	-1	-1	
overlapped	   7	  10	   0	   2	-1	-1	-1	-1	
overlaps	   7	   8	   0	   2	-1	-1	-1	-1	
overlook	   6	   8	   2	   3	-1	-1	-1	-1	
overlooks	   7	   9	   0	   2	-1	-1	-1	-1	
overmatch	   -  	   9	   0		-1	-1	-1	-1	
overpay	   -  	   7	   1		-1	-1	-1	-1	
overplay	   -  	   8	   0		-1	-1	-1	-1	
overplayed	   -  	  10	   0		-1	-1	-1	-1	
overprice	   -  	   9	   0		-1	-1	-1	-1	
overran	   -  	   7	   1		-1	-1	-1	-1	
overrate	   6	   8	   0	   1	-1	-1	-1	-1	
overreach	   -  	   9	   0		-1	-1	-1	-1	
overrode	   6	   8	   1	   2	-1	-1	-1	-1	
overrule	   6	   8	   0	   2	-1	-1	-1	-1	
overruled	   7	   9	   0	   1	-1	-1	-1	-1	
overrules	   -  	   9	   1		-1	-1	-1	-1	
oversee	   5	   7	   0	   2	-1	-1	-1	-1	
overseen	   6	   8	   1	   2	-1	-1	-1	-1	
oversees	   -  	   8	   3		-1	-1	-1	-1	
oversell	   -  	   8	   0		-1	-1	-1	-1	
overshoot	   6	   9	   0	   1	-1	-1	-1	-1	
overshot	   6	   8	   0	   1	-1	-1	-1	-1	
oversleep	   -  	   9	   0		-1	-1	-1	-1	
oversold	   -  	   8	   0		-1	-1	-1	-1	
overspend	   -  	   9	   0		-1	-1	-1	-1	
overspent	   -  	   9	   0		-1	-1	-1	-1	
overstate	   7	   9	   0	   0	-1	-1	-1	-1	
overstates	   -  	  10	   1		-1	-1	-1	-1	
overstay	   -  	   8	   0		-1	-1	-1	-1	
overstayed	   -  	  10	   1		-1	-1	-1	-1	
overstep	   7	   8	   0	   0	-1	-1	-1	-1	
overstuff	   -  	   9	   0		-1	-1	-1	-1	
overtake	   6	   8	   0	   1	-1	-1	-1	-1	
overtakes	   -  	   9	   1		-1	-1	-1	-1	
overtax	   -  	   7	   0		-1	-1	-1	-1	
overthrew	   -  	   9	   1		-1	-1	-1	-1	
overthrown	   7	  10	   0	   2	-1	-1	-1	-1	
overtook	   6	   8	   2	   2	-1	-1	-1	-1	
overtrain	   -  	   9	   0		-1	-1	-1	-1	
overturn	   6	   8	   1	   1	-1	-1	-1	-1	
overturns	   -  	   9	   1		-1	-1	-1	-1	
overwhelm	   7	   9	   0	   0	-1	-1	-1	-1	
overworks	   -  	   9	   0		-1	-1	-1	-1	
overwrite	   -  	   9	   0		-1	-1	-1	-1	
overwrites	   -  	  10	   0		-1	-1	-1	-1	
owed	   2	   4	   2	  27	-1	-1	-1	-1	
owes	   2	   4	   6	  31	-1	-1	-1	-1	
owns	   3	   4	   2	  14	-1	-1	-1	-1	
paced	   4	   5	   8	  20	-1	-1	-1	-1	
pacify	   6	   6	   0	   1	-1	-1	-1	-1	
paled	   4	   5	   8	  23	-1	-1	-1	-1	
pales	   4	   5	  16	  27	-1	-1	-1	-1	
palpitates	   -  	  10	   0		-1	-1	-1	-1	
panned	   -  	   6	  10		-1	-1	-1	-1	
paraded	   7	   7	   1	   2	-1	-1	-1	-1	
parading	   7	   8	   0	   2	-1	-1	-1	-1	
paralleled	   8	  10	   0	   2	-1	-1	-1	-1	
paralyze	   -  	   8	   1		-1	-1	-1	-1	
parch	   -  	   5	   5		-1	-1	-1	-1	
pare	   3	   4	  22	  22	-1	-1	 392	-1	
pared	   3	   5	   9	  24	-1	-1	-1	-1	
pares	   -  	   5	  16		-1	-1	-1	-1	
parse	   -  	   5	   3		-1	-1	-1	-1	
partnering	   8	  10	   0	   0	-1	-1	-1	-1	
patenting	   -  	   9	   0		-1	-1	-1	-1	
patronize	   8	   9	   0	   1	-1	-1	-1	-1	
paused	   4	   6	   3	   9	-1	-1	-1	-1	
pave	   3	   4	  13	  15	-1	-1	-1	-1	
paves	   -  	   5	  11		-1	-1	-1	-1	
pawed	   3	   5	   5	  31	-1	-1	-1	-1	
pays	   3	   4	  13	  28	-1	-1	-1	-1	
pedaling	   -  	   8	   1		-1	-1	-1	-1	
peed	   -  	   4	  14		-1	-1	-1	-1	
peeked	   4	   6	   7	  11	-1	-1	-1	-1	
peeped	   4	   6	   5	   7	-1	-1	-1	-1	
peered	   3	   6	   7	  23	-1	-1	-1	-1	
pegged	   4	   6	   2	   5	-1	-1	-1	-1	
penalize	   -  	   8	   0		-1	-1	-1	-1	
penetrate	   8	   9	   0	   1	-1	 534	-1	 434	
peppering	   -  	   9	   0		-1	-1	-1	-1	
percolate	   7	   9	   0	   0	-1	-1	-1	-1	
perfecting	   8	  10	   0	   2	-1	-1	-1	-1	
perishing	   7	   9	   0	   1	-1	-1	-1	-1	
perjuring	   -  	   9	   0		-1	-1	-1	-1	
perked	   -  	   6	   5		-1	-1	-1	-1	
permeate	   6	   8	   0	   1	-1	-1	-1	-1	
permeates	   7	   9	   1	   1	-1	-1	-1	-1	
permitting	   7	  10	   0	   3	-1	-1	-1	-1	
perpetrate	   8	  10	   1	   0	-1	-1	-1	-1	
persecutes	   -  	  10	   1		-1	-1	-1	-1	
persevere	   7	   9	   0	   1	-1	-1	-1	-1	
persevered	   7	  10	   0	   1	-1	-1	-1	-1	
perseveres	   -  	  10	   1		-1	-1	-1	-1	
persisted	   8	   9	   0	   2	-1	-1	-1	-1	
persisting	   8	  10	   0	   2	-1	-1	-1	-1	
perspiring	   9	  10	   0	   1	-1	-1	-1	-1	
persuaded	   8	   9	   1	   1	-1	-1	-1	-1	
perturbing	   -  	  10	   0		-1	-1	-1	-1	
peruses	   -  	   7	   0		-1	-1	-1	-1	
perusing	   -  	   8	   0		-1	-1	-1	-1	
pervaded	   7	   8	   1	   2	-1	-1	-1	-1	
perverting	   -  	  10	   0		-1	-1	-1	-1	
petitioned	   7	  10	   0	   3	-1	-1	-1	-1	
petrify	   -  	   7	   0		-1	-1	-1	-1	
philander	   -  	   9	   0		-1	-1	-1	-1	
phoned	   4	   6	   2	  18	-1	-1	-1	-1	
phrased	   5	   7	   1	   9	-1	-1	-1	-1	
picketed	   7	   8	   1	   2	-1	-1	-1	-1	
picketing	   7	   9	   1	   2	-1	-1	-1	-1	
pieced	   4	   6	   1	  16	-1	-1	-1	-1	
piled	   4	   5	   8	  15	-1	-1	-1	-1	
pillages	   -  	   8	   2		-1	-1	-1	-1	
piloted	   -  	   7	   1		-1	-1	-1	-1	
pined	   4	   5	   7	  21	-1	-1	-1	-1	
pinged	   4	   6	   6	   6	-1	-1	-1	-1	
pinpointed	   9	  10	   0	   0	-1	-1	-1	-1	
pioneered	   6	   9	   0	   2	-1	-1	-1	-1	
piped	   4	   5	   5	   8	-1	-1	-1	-1	
placed	   5	   6	   5	   6	-1	-1	-1	-1	
plagiarize	   -  	  10	   0		-1	-1	-1	-1	
planed	   5	   6	   5	   7	-1	-1	-1	-1	
plead	   4	   5	   2	  14	 488	-1	 265	-1	
pleads	   5	   6	   1	   5	-1	-1	-1	-1	
plies	   4	   5	   2	  12	-1	-1	-1	-1	
plod	   4	   4	   6	  11	-1	 471	-1	 379	
plopped	   5	   7	   3	   7	-1	-1	-1	-1	
plucks	   -  	   6	   1		-1	-1	-1	-1	
plumbed	   5	   7	   2	   6	-1	-1	-1	-1	
plummeted	   -  	   9	   0		-1	-1	-1	-1	
plumped	   6	   7	   4	   5	-1	-1	-1	-1	
plundering	   9	  10	   1	   1	-1	-1	-1	-1	
plunged	   6	   7	   3	   2	-1	-1	-1	-1	
plunked	   -  	   7	   4		-1	-1	-1	-1	
poach	   3	   5	   5	  15	-1	 450	-1	 445	
pocketed	   7	   8	   2	   4	-1	-1	-1	-1	
pocketing	   7	   9	   2	   3	-1	-1	-1	-1	
polarize	   -  	   8	   0		-1	-1	-1	-1	
polices	   -  	   7	   1		-1	-1	-1	-1	
polled	   4	   6	   7	  21	-1	-1	-1	-1	
pollinate	   -  	   9	   0		-1	-1	-1	-1	
pollinates	   -  	  10	   0		-1	-1	-1	-1	
pondering	   8	   9	   3	   2	-1	-1	-1	-1	
pooled	   4	   6	   5	  12	-1	-1	-1	-1	
pored	   -  	   5	   6		-1	-1	-1	-1	
portraying	   7	  10	   0	   0	-1	-1	-1	-1	
posited	   7	   7	   0	   1	-1	-1	-1	-1	
possesses	   7	   9	   1	   3	-1	-1	-1	-1	
possessing	   7	  10	   0	   2	-1	-1	-1	-1	
postdated	   -  	   9	   0		-1	-1	-1	-1	
postulate	   9	   9	   0	   0	-1	-1	-1	-1	
postulates	  10	  10	   1	   0	-1	-1	-1	-1	
pounced	   5	   7	   2	   2	-1	-1	-1	-1	
pours	   3	   5	   4	  35	-1	-1	-1	-1	
powdering	   7	   9	   1	   2	-1	-1	-1	-1	
powering	   6	   8	   3	   4	-1	-1	-1	-1	
praised	   5	   7	   1	  10	-1	-1	-1	-1	
prayed	   4	   6	   4	  15	-1	-1	-1	-1	
preach	   4	   6	   1	   5	-1	-1	-1	-1	
preached	   5	   8	   4	   5	-1	-1	-1	-1	
prearrange	   -  	  10	   0		-1	-1	-1	-1	
preceded	   8	   8	   1	   2	-1	-1	-1	-1	
preceeding	   -  	  10	   1		-1	-1	-1	-1	
precluded	   9	   9	   1	   0	-1	-1	-1	-1	
precluding	   -  	  10	   0		-1	-1	-1	-1	
predicate	   8	   9	   0	   0	-1	-1	-1	-1	
predispose	   -  	  10	   0		-1	-1	-1	-1	
preempted	   -  	   9	   0		-1	-1	-1	-1	
preempting	   -  	  10	   0		-1	-1	-1	-1	
preen	   4	   5	   1	   5	-1	-1	-1	-1	
preferring	   8	  10	   0	   0	-1	-1	-1	-1	
premiering	   -  	  10	   0		-1	-1	-1	-1	
presages	   8	   8	   1	   0	-1	-1	-1	-1	
presented	   9	   9	   2	   3	-1	-1	-1	-1	
presenting	   9	  10	   1	   3	-1	-1	-1	-1	
presided	   8	   8	   1	   2	-1	-1	-1	-1	
pressuring	   -  	  10	   0		-1	-1	-1	-1	
pressurize	   -  	  10	   0		-1	-1	-1	-1	
presuppose	   8	  10	   0	   0	-1	-1	-1	-1	
pret	   -  	   4	   4		-1	-1	-1	-1	
prevented	   9	   9	   1	   3	-1	-1	-1	-1	
preventing	   9	  10	   1	   3	-1	-1	-1	-1	
previewing	   -  	  10	   0		-1	-1	-1	-1	
preyed	   4	   6	   1	  15	-1	-1	-1	-1	
pricked	   5	   7	   1	   4	-1	-1	-1	-1	
primed	   5	   6	   3	   4	-1	-1	-1	-1	
primp	   -  	   5	   2		-1	-1	-1	-1	
privatize	   -  	   9	   0		-1	-1	-1	-1	
probed	   5	   6	   2	   3	-1	-1	-1	-1	
proceeded	   8	   9	   0	   2	-1	-1	-1	-1	
procuring	   9	   9	   0	   1	-1	-1	-1	-1	
professes	   8	   9	   2	   2	-1	-1	-1	-1	
professing	   8	  10	   1	   1	-1	-1	-1	-1	
profited	   8	   8	   0	   1	-1	-1	-1	-1	
profiting	   8	   9	   0	   1	-1	-1	-1	-1	
programing	   -  	  10	   0		-1	-1	-1	-1	
progresses	   9	  10	   1	   0	-1	-1	-1	-1	
prohibit	   8	   8	   0	   1	-1	 519	 373	-1	
prohibits	   9	   9	   0	   1	-1	-1	-1	-1	
prolonging	   8	  10	   0	   0	-1	-1	-1	-1	
promulgate	   -  	  10	   0		-1	-1	-1	-1	
pronged	   -  	   7	   1		-1	-1	-1	-1	
pronounces	   9	  10	   1	   0	-1	-1	-1	-1	
proofed	   5	   7	   0	   3	-1	-1	-1	-1	
propagate	   8	   9	   0	   0	-1	-1	-1	-1	
propelling	   8	  10	   0	   0	-1	-1	-1	-1	
prophesies	   -  	  10	   2		-1	-1	-1	-1	
proposes	   8	   8	   1	   1	-1	-1	-1	-1	
propped	   5	   7	   3	   7	-1	-1	-1	-1	
prosecute	   9	   9	   0	   0	-1	-1	-1	-1	
prosecutes	   -  	  10	   1		-1	-1	-1	-1	
prospering	   9	  10	   0	   0	-1	-1	-1	-1	
protested	   9	   9	   1	   1	-1	-1	-1	-1	
publicize	   8	   9	   0	   1	-1	-1	-1	-1	
publishes	   8	   9	   2	   2	-1	-1	-1	-1	
pulverize	   -  	   9	   0		-1	-1	-1	-1	
punctuate	   -  	   9	   0		-1	-1	-1	-1	
punishes	   7	   8	   1	   1	-1	-1	-1	-1	
purify	   7	   6	   1	   1	-1	-1	-1	-1	
purporting	   7	  10	   0	   1	-1	-1	-1	-1	
pursed	   4	   6	   8	  16	-1	-1	-1	-1	
purveying	   -  	   9	   1		-1	-1	-1	-1	
pushed	   4	   6	   5	   2	-1	-1	-1	-1	
puts	   4	   4	  14	  10	-1	-1	-1	-1	
puttering	   -  	   9	   5		-1	-1	-1	-1	
quadrupled	   9	  10	   0	   2	-1	-1	-1	-1	
qualifies	   8	   9	   2	   2	-1	-1	-1	-1	
qualify	   7	   7	   1	   2	-1	-1	-1	-1	
quantified	   9	  10	   0	   1	-1	-1	-1	-1	
quantify	   8	   8	   1	   1	-1	-1	-1	-1	
quashed	   5	   7	   0	   2	-1	-1	-1	-1	
quell	   4	   5	   1	   6	-1	-1	-1	-1	
quelled	   5	   7	   1	   5	-1	-1	-1	-1	
quench	   -  	   6	   0		-1	-1	-1	-1	
quieted	   7	   7	   3	   0	-1	-1	-1	-1	
quieting	   -  	   8	   1		-1	-1	-1	-1	
quipped	   5	   7	   0	   6	-1	-1	-1	-1	
quire	   -  	   5	   2		-1	-1	-1	-1	
quizzed	   5	   7	   1	   3	-1	-1	-1	-1	
racked	   4	   6	  10	  23	-1	-1	-1	-1	
radiates	   7	   8	   1	   1	-1	-1	-1	-1	
radioed	   6	   7	   0	   2	-1	-1	-1	-1	
raged	   4	   5	   9	  11	-1	-1	-1	-1	
railed	   4	   6	  12	  21	-1	-1	-1	-1	
railroaded	   -  	  10	   0		-1	-1	-1	-1	
rained	   4	   6	   7	  23	-1	-1	-1	-1	
rammed	   4	   6	   3	  12	-1	-1	-1	-1	
ran	   3	   3	  16	  21	-1	 221	-1	 491	
rang	   3	   4	  14	  19	-1	-1	-1	-1	
ranged	   5	   6	   8	   5	-1	-1	-1	-1	
rapped	   4	   6	   7	  17	-1	-1	-1	-1	
rasps	   -  	   5	   3		-1	-1	-1	-1	
ratcheting	   -  	  10	   0		-1	-1	-1	-1	
ratified	   7	   8	   1	   2	-1	-1	-1	-1	
ratifies	   -  	   8	   1		-1	-1	-1	-1	
ratify	   6	   6	   0	   2	-1	-1	-1	-1	
ravaging	   7	   8	   1	   3	-1	-1	-1	-1	
raved	   4	   5	  12	  13	-1	-1	-1	-1	
raze	   -  	   4	  12		-1	-1	-1	-1	
razed	   4	   5	   9	  15	-1	-1	-1	-1	
reabsorbed	   -  	  10	   0		-1	-1	-1	-1	
reached	   4	   7	   4	   6	-1	-1	-1	-1	
reacquire	   -  	   9	   0		-1	-1	-1	-1	
reacquired	   -  	  10	   0		-1	-1	-1	-1	
reacted	   7	   7	   1	   1	-1	-1	-1	-1	
reacting	   7	   8	   1	   1	-1	-1	-1	-1	
reaffirm	   6	   8	   0	   1	-1	-1	-1	-1	
reaffirmed	   7	  10	   0	   1	-1	-1	-1	-1	
reaffirms	   -  	   9	   0		-1	-1	-1	-1	
realign	   -  	   7	   0		-1	-1	-1	-1	
realigned	   -  	   9	   0		-1	-1	-1	-1	
realise	   -  	   7	   3		-1	-1	-1	-1	
realised	   -  	   8	   1		-1	-1	-1	-1	
realize	   5	   7	   0	   1	 361	-1	 223	-1	
reap	   3	   4	   5	  15	-1	-1	 408	-1	
reappear	   6	   8	   0	   2	-1	-1	-1	-1	
reappeared	   6	  10	   0	   2	-1	-1	-1	-1	
reappears	   6	   9	   0	   2	-1	-1	-1	-1	
reappraise	   -  	  10	   0		-1	-1	-1	-1	
reaps	   4	   5	   5	  13	-1	-1	-1	-1	
reared	   3	   6	   6	  20	-1	-1	-1	-1	
rearrange	   7	   9	   0	   1	-1	-1	-1	-1	
rearranged	   8	  10	   0	   1	-1	-1	-1	-1	
reassert	   -  	   8	   0		-1	-1	-1	-1	
reasserts	   -  	   9	   0		-1	-1	-1	-1	
reassess	   -  	   8	   0		-1	-1	-1	-1	
reassessed	   -  	  10	   0		-1	-1	-1	-1	
reassume	   -  	   8	   1		-1	-1	-1	-1	
reassure	   6	   8	   0	   2	-1	-1	-1	-1	
reassures	   6	   9	   1	   2	-1	-1	-1	-1	
reattach	   -  	   8	   0		-1	-1	-1	-1	
reave	   -  	   5	   3		-1	-1	-1	-1	
rebounded	   8	   9	   1	   1	-1	-1	-1	-1	
rebutted	   -  	   8	   0		-1	-1	-1	-1	
recalling	   7	   9	   0	   1	-1	-1	-1	-1	
recanted	   -  	   8	   0		-1	-1	-1	-1	
recanting	   -  	   9	   0		-1	-1	-1	-1	
recapping	   -  	   9	   0		-1	-1	-1	-1	
recaptured	   8	  10	   0	   1	-1	-1	-1	-1	
recasting	   -  	   9	   0		-1	-1	-1	-1	
receded	   7	   7	   1	   1	-1	-1	-1	-1	
rechristen	   -  	  10	   0		-1	-1	-1	-1	
recited	   7	   7	   0	   1	-1	-1	-1	-1	
reciting	   7	   8	   0	   1	-1	-1	-1	-1	
reclaiming	   8	  10	   1	   1	-1	-1	-1	-1	
recognise	   -  	   9	   1		-1	-1	-1	-1	
recognize	   8	   9	   0	   1	-1	-1	-1	-1	
recollect	   8	   9	   0	   0	-1	-1	-1	-1	
recollects	   -  	  10	   0		-1	-1	-1	-1	
recombine	   -  	   9	   0		-1	-1	-1	-1	
recommend	   8	   9	   0	   1	-1	 491	 313	-1	
recommends	   9	  10	   0	   1	-1	-1	-1	-1	
recommit	   -  	   8	   0		-1	-1	-1	-1	
reconcile	   8	   9	   0	   1	-1	-1	-1	-1	
reconciles	   -  	  10	   1		-1	-1	-1	-1	
reconfirm	   -  	   9	   0		-1	-1	-1	-1	
reconquer	   -  	   9	   0		-1	-1	-1	-1	
reconvene	   -  	   9	   0		-1	-1	-1	-1	
reconvened	   -  	  10	   0		-1	-1	-1	-1	
reconvenes	   -  	  10	   0		-1	-1	-1	-1	
recounted	   8	   9	   0	   1	-1	-1	-1	-1	
recounting	   8	  10	   0	   1	-1	-1	-1	-1	
recouping	   -  	   9	   0		-1	-1	-1	-1	
recover	   7	   7	   1	   2	-1	 428	-1	 378	
recovers	   7	   8	   2	   2	-1	-1	-1	-1	
recreate	   7	   8	   0	   1	-1	-1	-1	-1	
recreates	   8	   9	   1	   1	-1	-1	-1	-1	
rectified	   8	   9	   0	   1	-1	-1	-1	-1	
rectify	   7	   7	   0	   1	-1	-1	-1	-1	
recusing	   -  	   8	   1		-1	-1	-1	-1	
recycle	   6	   7	   0	   1	-1	-1	-1	-1	
recycles	   -  	   8	   1		-1	-1	-1	-1	
redefine	   -  	   8	   0		-1	-1	-1	-1	
redefined	   -  	   9	   0		-1	-1	-1	-1	
redefines	   -  	   9	   1		-1	-1	-1	-1	
redeploy	   -  	   8	   0		-1	-1	-1	-1	
redeployed	   8	  10	   0	   0	-1	-1	-1	-1	
redlining	   -  	   9	   1		-1	-1	-1	-1	
redouble	   6	   8	   0	   1	-1	-1	-1	-1	
redrafted	   -  	   9	   0		-1	-1	-1	-1	
redrawing	   -  	   9	   0		-1	-1	-1	-1	
redressing	   8	  10	   1	   0	-1	-1	-1	-1	
reduces	   8	   7	   2	   2	-1	-1	-1	-1	
reeled	   4	   6	   3	  15	-1	-1	-1	-1	
reemerge	   -  	   8	   0		-1	-1	-1	-1	
reenter	   -  	   7	   0		-1	-1	-1	-1	
reentered	   -  	   9	   0		-1	-1	-1	-1	
referring	   -  	   9	   1		-1	-1	-1	-1	
refinance	   -  	   9	   0		-1	-1	-1	-1	
